country,state,city,station,last_update,latitude,longitude,pollutant_id,pollutant_min,pollutant_max,pollutant_avg
India,Assam,Nagaon,"Christianpatty, Nagaon - PCBA","04-09-2025 21:00:00",26.349082,92.68449,CO,3,46,32
India,Assam,Nalbari,"Bata Chowk, Nalbari - PCBA","04-09-2025 21:00:00",26.446912,91.439057,SO2,4,9,8
India,Assam,Nalbari,"Bata Chowk, Nalbari - PCBA","04-09-2025 21:00:00",26.446912,91.439057,OZONE,1,54,13
India,Assam,Silchar,"Tarapur, Silchar - PCBA","04-09-2025 21:00:00",24.82827,92.79525,PM10,43,53,46
India,Assam,Silchar,"Tarapur, Silchar - PCBA","04-09-2025 21:00:00",24.82827,92.79525,NO2,15,18,17
India,Assam,Silchar,"Tarapur, Silchar - PCBA","04-09-2025 21:00:00",24.82827,92.79525,OZONE,1,15,7
India,Assam,Sivasagar,"Girls College, Sivasagar - PCBA","04-09-2025 21:00:00",26.987634,94.636574,OZONE,2,7,3
India,Bihar,Araria,"Kharahiya Basti, Araria - BSPCB","04-09-2025 21:00:00",26.146529,87.454184,NH3,5,5,5
India,Bihar,Araria,"Kharahiya Basti, Araria - BSPCB","04-09-2025 21:00:00",26.146529,87.454184,OZONE,9,11,10
India,Bihar,Gaya,"Collectorate, Gaya - BSPCB","04-09-2025 21:00:00",24.7955,84.9994,OZONE,18,21,20
India,Bihar,Gaya,"Kareemganj, Gaya - BSPCB","04-09-2025 21:00:00",24.792403,84.992416,NO2,2,7,5
India,Bihar,Gaya,"SFTI Kusdihra, Gaya - BSPCB","04-09-2025 21:00:00",24.762518,84.982348,NH3,3,4,3
India,Bihar,Gaya,"SFTI Kusdihra, Gaya - BSPCB","04-09-2025 21:00:00",24.762518,84.982348,SO2,2,29,7
India,Bihar,Gaya,"SFTI Kusdihra, Gaya - BSPCB","04-09-2025 21:00:00",24.762518,84.982348,CO,16,32,27
India,Bihar,Hajipur,"Industrial Area, Hajipur - BSPCB","04-09-2025 21:00:00",25.697189,85.245900,NO2,6,14,9
India,Bihar,Kishanganj,"SDM Office_Khagra, Kishanganj - BSPCB","04-09-2025 21:00:00",26.0881305,87.93840336,PM2.5,17,160,40
India,Bihar,Kishanganj,"SDM Office_Khagra, Kishanganj - BSPCB","04-09-2025 21:00:00",26.0881305,87.93840336,NH3,3,3,3
India,Bihar,Kishanganj,"SDM Office_Khagra, Kishanganj - BSPCB","04-09-2025 21:00:00",26.0881305,87.93840336,SO2,7,10,9
India,Bihar,Motihari,"Gandak Colony, Motihari - BSPCB","04-09-2025 21:00:00",26.63086,84.90051,PM10,NA,NA,NA
India,Bihar,Motihari,"Gandak Colony, Motihari - BSPCB","04-09-2025 21:00:00",26.63086,84.90051,CO,1,7,2
India,Bihar,Munger,"Town Hall, Munger - BSPCB","04-09-2025 21:00:00",25.376776,86.471523,PM10,1,238,34
India,Bihar,Munger,"Town Hall, Munger - BSPCB","04-09-2025 21:00:00",25.376776,86.471523,NH3,5,6,6
India,Bihar,Muzaffarpur,"Buddha Colony, Muzaffarpur - BSPCB","04-09-2025 21:00:00",26.11442,85.39813,NO2,6,13,9
India,Bihar,Muzaffarpur,"Buddha Colony, Muzaffarpur - BSPCB","04-09-2025 21:00:00",26.11442,85.39813,CO,15,32,21
India,Bihar,Muzaffarpur,"Buddha Colony, Muzaffarpur - BSPCB","04-09-2025 21:00:00",26.11442,85.39813,OZONE,35,106,64
India,Bihar,Muzaffarpur,"MIT-Daudpur Kothi, Muzaffarpur - BSPCB","04-09-2025 21:00:00",26.1403345,85.3650192,PM2.5,40,82,59
India,Bihar,Muzaffarpur,"MIT-Daudpur Kothi, Muzaffarpur - BSPCB","04-09-2025 21:00:00",26.1403345,85.3650192,NO2,6,12,9
India,Andhra_Pradesh,Chittoor,"Gangineni Cheruvu, Chittoor - APPCB","04-09-2025 21:00:00",13.204880,79.097889,CO,34,60,50
India,Andhra_Pradesh,Kadapa,"Yerramukkapalli, Kadapa - APPCB","04-09-2025 21:00:00",14.465052,78.824187,PM2.5,54,78,71
India,Andhra_Pradesh,Kadapa,"Yerramukkapalli, Kadapa - APPCB","04-09-2025 21:00:00",14.465052,78.824187,PM10,56,84,76
India,Andhra_Pradesh,Kadapa,"Yerramukkapalli, Kadapa - APPCB","04-09-2025 21:00:00",14.465052,78.824187,NH3,4,5,4
India,Andhra_Pradesh,Rajamahendravaram,"Anand Kala Kshetram, Rajamahendravaram - APPCB","04-09-2025 21:00:00",16.9872867,81.7363176,CO,2,24,9
India,Andhra_Pradesh,Tirumala,"Toll Gate, Tirumala - APPCB","04-09-2025 21:00:00",13.67,79.35,NH3,1,2,1
India,Andhra_Pradesh,Tirumala,"Toll Gate, Tirumala - APPCB","04-09-2025 21:00:00",13.67,79.35,CO,4,98,28
India,Andhra_Pradesh,Tirumala,"Toll Gate, Tirumala - APPCB","04-09-2025 21:00:00",13.67,79.35,OZONE,6,13,11
India,Bihar,Bhagalpur,"DM Office_Kachari Chowk, Bhagalpur - BSPCB","04-09-2025 21:00:00",25.251013,86.989001,OZONE,12,21,16
India,Bihar,"Bihar Sharif","D M Colony, Bihar Sharif - BSPCB","04-09-2025 21:00:00",25.204762,85.514960,NH3,2,2,2
India,Bihar,"Bihar Sharif","D M Colony, Bihar Sharif - BSPCB","04-09-2025 21:00:00",25.204762,85.514960,SO2,NA,NA,NA
India,Bihar,"Bihar Sharif","D M Colony, Bihar Sharif - BSPCB","04-09-2025 21:00:00",25.204762,85.514960,OZONE,10,37,28
India,Bihar,Buxar,"Charitra Van, Buxar - BSPCB","04-09-2025 21:00:00",25.567520,83.966379,NH3,3,3,3
