datetime,city,state,latitude,longitude,aqi,temp,humidity,PM2.5,PM10,NO2,OZONE,CO,SO2,NH3
2025-08-06 02:22:07,Delhi,Delhi,28.6139,77.209,87,26.3,60.5,76.2,101.2,29.0,14.7,7.6,12.6,8.8
2025-08-06 03:22:07,Delhi,Delhi,28.6139,77.209,74,27.5,48.3,49.6,81.8,25.2,15.6,5.8,8.5,8.5
2025-08-06 04:22:07,Delhi,Delhi,28.6139,77.209,100,27.1,45.9,75.2,112.6,31.2,22.6,11.8,15.6,9.3
2025-08-06 05:22:07,Delhi,Delhi,28.6139,77.209,84,33.1,52.0,59.7,102.1,24.5,19.5,6.6,11.2,6.6
2025-08-06 06:22:07,Delhi,Delhi,28.6139,77.209,75,32.5,37.4,61.0,85.9,18.7,15.8,6.1,14.1,6.0
2025-08-06 07:22:07,Delhi,Delhi,28.6139,77.209,67,36.7,43.9,47.9,84.4,15.4,15.8,8.5,8.2,5.3
2025-08-06 08:22:07,Delhi,Delhi,28.6139,77.209,64,34.8,35.4,50.2,89.9,17.5,10.6,5.9,12.3,8.1
2025-08-06 09:22:07,Delhi,Delhi,28.6139,77.209,99,33.0,32.4,84.5,108.9,33.8,17.7,10.2,15.4,8.4
2025-08-06 10:22:07,Delhi,Delhi,28.6139,77.209,64,35.3,41.3,49.1,66.8,20.7,11.1,5.3,6.9,8.0
2025-08-06 11:22:07,Delhi,Delhi,28.6139,77.209,94,32.6,43.9,73.2,116.2,27.0,18.1,10.2,15.3,8.5
2025-08-06 12:22:07,Delhi,Delhi,28.6139,77.209,68,30.1,50.8,55.8,92.8,17.5,14.1,8.0,9.8,5.7
2025-08-06 13:22:07,Delhi,Delhi,28.6139,77.209,84,28.2,64.3,63.8,111.8,25.5,16.5,8.6,11.2,8.7
2025-08-06 14:22:07,Delhi,Delhi,28.6139,77.209,66,27.7,53.5,60.7,77.7,17.5,11.4,6.4,11.4,5.2
2025-08-06 15:22:07,Delhi,Delhi,28.6139,77.209,65,20.9,70.9,45.6,68.1,14.5,15.3,6.0,11.0,5.1
2025-08-06 16:22:07,Delhi,Delhi,28.6139,77.209,53,18.2,63.7,45.6,78.0,13.2,11.8,3.7,7.7,5.9
